M,slope,System
Mg,0.928397470689598,Aminoacids_carboxylates
Mn,0.473833499793021,Aminoacids_carboxylates
Zn,0.00622188903962243,Aminoacids_carboxylates
Ca,0.953618609911885,Aminoacids_carboxylates
